9000010000,p 25
9000010001,c 13
9000010002,c 51
9000010003,c 17
9000010004,c 3
9000010005,p 22
9000010006,p 9
9000010007,c 16
9000010008,p 18
9000010009,c 24
9000010010,c 5
9000010011,p 34
9000010012,c 28
9000010013,p 14
9000010014,c 8
9000010015,c 50
9000010016,p 21
9000010017,p 9
9000010018,p 35
9000010019,c 29
9000010020,c 12
9000010021,c 1
9000010022,c 5
9000010023,p 16
9000010024,p 13
9000010025,p 22
9000010026,c 40
9000010027,p 31
9000010028,p 20
9000010029,p 9
9000010030,p 33
9000010031,c 48
9000010032,p 17
9000010033,p 20
9000010034,p 15
9000010035,p 24
9000010036,p 11
9000010037,c 37
9000010038,c 2
9000010039,c 15
9000010040,c 39
9000010041,c 19
9000010042,c 24
9000010043,p 27
9000010044,p 12
9000010045,c 6
9000010046,c 31
9000010047,c 4
9000010048,p 31
9000010049,p 24
9000010050,p 17
9000010051,c 49
9000010052,p 20
9000010053,p 14
9000010054,p 13
9000010055,p 22
9000010056,p 20
9000010057,p 32
9000010058,p 31
9000010059,p 8
9000010060,p 20
9000010061,c 47
9000010062,c 25
9000010063,c 26
9000010064,c 30
9000010065,c 9
9000010066,c 26
9000010067,p 7
9000010068,p 28
9000010069,c 5
9000010070,p 7
9000010071,p 22
9000010072,c 43
9000010073,c 30
9000010074,p 8
9000010075,c 21
9000010076,c 39
9000010077,c 22
9000010078,c 46
9000010079,p 31
9000010080,c 16
9000010081,c 5
9000010082,p 20
9000010083,p 20
9000010084,p 10
9000010085,p 28
9000010086,c 3
9000010087,p 13
9000010088,c 43
9000010089,c 33
9000010090,p 28
9000010091,c 23
9000010092,c 17
9000010093,p 35
9000010094,p 30
9000010095,p 22
9000010096,c 16
9000010097,p 26
9000010098,p 9
9000010099,p 11
9000010100,c 35
9000010101,c 35
9000010102,p 7
9000010103,p 20
9000010104,c 34
9000010105,p 23
9000010106,c 29
9000010107,c 10
9000010108,c 12
9000010109,p 34
9000010110,c 50
9000010111,p 5
9000010112,p 9
9000010113,c 12
9000010114,p 15
9000010115,p 25
9000010116,c 46
9000010117,p 10
9000010118,c 15
9000010119,c 32
9000010120,p 14
9000010121,p 31
9000010122,p 34
9000010123,c 42
9000010124,c 13
9000010125,c 22
9000010126,c 44
9000010127,c 43
9000010128,p 18
9000010129,p 23
9000010130,c 39
9000010131,c 22
9000010132,c 39
9000010133,p 32
9000010134,p 33
9000010135,p 33
9000010136,c 26
9000010137,c 27
9000010138,c 48
9000010139,p 29
9000010140,c 37
9000010141,p 15
9000010142,p 24
9000010143,p 19
9000010144,c 2
9000010145,p 17
9000010146,p 24
9000010147,p 21
9000010148,p 24
9000010149,c 14
9000010150,c 41
9000010151,p 20
9000010152,p 18
9000010153,p 13
9000010154,c 2
9000010155,p 31
9000010156,c 28
9000010157,c 39
9000010158,p 6
9000010159,c 10
9000010160,p 35
9000010161,c 9
9000010162,p 19
9000010163,p 9
9000010164,p 23
9000010165,p 25
9000010166,c 1
9000010167,c 8
9000010168,c 34
9000010169,c 17
9000010170,c 6
9000010171,p 11
9000010172,c 8
9000010173,c 30
9000010174,p 7
9000010175,p 10
9000010176,p 28
9000010177,c 2
9000010178,p 19
9000010179,p 11
9000010180,p 14
9000010181,c 35
9000010182,p 35
9000010183,c 41
9000010184,p 5
9000010185,p 29
9000010186,c 32
9000010187,p 20
9000010188,p 12
9000010189,c 22
9000010190,c 35
9000010191,c 13
9000010192,c 41
9000010193,p 7
9000010194,c 46
9000010195,p 18
9000010196,p 5
9000010197,c 37
9000010198,p 25
9000010199,c 29
9000010200,p 26
9000010201,p 22
9000010202,p 29
9000010203,p 5
9000010204,p 35
9000010205,p 14
9000010206,p 12
9000010207,p 27
9000010208,c 50
9000010209,p 18
9000010210,c 4
9000010211,c 20
9000010212,c 6
9000010213,p 13
9000010214,p 9
9000010215,p 17
9000010216,c 3
9000010217,c 23
9000010218,c 27
9000010219,p 6
9000010220,p 20
9000010221,c 33
9000010222,c 40
9000010223,p 28
9000010224,p 27
9000010225,c 41
9000010226,p 28
9000010227,c 20
9000010228,p 15
9000010229,p 31
9000010230,p 35
9000010231,p 13
9000010232,p 23
9000010233,p 5
9000010234,p 6
9000010235,c 3
9000010236,c 3
9000010237,p 11
9000010238,p 7
9000010239,c 12
9000010240,c 50
9000010241,p 19
9000010242,p 21
9000010243,c 25
9000010244,c 22
9000010245,c 48
9000010246,p 7
9000010247,p 23
9000010248,p 19
9000010249,c 47
9000010250,c 44
9000010251,p 19
9000010252,p 11
9000010253,p 14
9000010254,c 47
9000010255,p 22
9000010256,c 35
9000010257,c 1
9000010258,c 3
9000010259,c 28
9000010260,p 17
9000010261,p 9
9000010262,c 45
9000010263,c 52
9000010264,p 13
9000010265,p 34
9000010266,c 17
9000010267,c 12
9000010268,c 39
9000010269,p 24
9000010270,p 18
9000010271,c 32
9000010272,p 20
9000010273,c 29
9000010274,c 5
9000010275,p 9
9000010276,p 23
9000010277,p 32
9000010278,c 11
9000010279,c 8
9000010280,p 28
9000010281,p 21
9000010282,c 44
9000010283,c 7
9000010284,c 13
9000010285,c 23
9000010286,p 25
9000010287,c 45
9000010288,c 33
9000010289,p 28
9000010290,p 5
9000010291,c 42
9000010292,p 17
9000010293,p 14
9000010294,p 17
9000010295,p 18
9000010296,c 4
9000010297,p 7
9000010298,c 4
9000010299,c 31
9000010300,c 27
9000010301,p 9
9000010302,c 4
9000010303,p 6
9000010304,p 6
9000010305,p 21
9000010306,c 13
9000010307,p 28
9000010308,c 16
9000010309,p 18
9000010310,p 8
9000010311,p 9
9000010312,p 28
9000010313,p 7
9000010314,p 34
9000010315,p 28
9000010316,p 13
9000010317,p 9
9000010318,p 22
9000010319,p 11
9000010320,c 28
9000010321,c 24
9000010322,p 15
9000010323,c 36
9000010324,p 12
9000010325,p 32
9000010326,p 7
9000010327,c 15
9000010328,c 28
9000010329,c 1
9000010330,c 45
9000010331,c 49
9000010332,c 42
9000010333,c 5
9000010334,p 25
9000010335,c 24
9000010336,p 5
9000010337,c 15
9000010338,p 12
9000010339,c 19
9000010340,c 19
9000010341,p 25
9000010342,p 18
9000010343,c 12
9000010344,c 40
9000010345,p 26
9000010346,p 34
9000010347,c 32
9000010348,c 21
9000010349,p 32
9000010350,p 29
9000010351,p 24
9000010352,p 26
9000010353,p 32
9000010354,p 9
9000010355,c 3
9000010356,c 35
9000010357,p 25
9000010358,c 31
9000010359,c 6
9000010360,c 38
9000010361,c 2
9000010362,p 20
9000010363,p 18
9000010364,p 5
9000010365,p 6
9000010366,c 42
9000010367,c 37
9000010368,p 28
9000010369,c 21
9000010370,c 48
9000010371,p 12
9000010372,c 52
9000010373,c 9
9000010374,p 22
9000010375,c 49
9000010376,p 30
9000010377,c 30
9000010378,p 5
9000010379,p 26
9000010380,p 20
9000010381,c 35
9000010382,p 15
9000010383,p 35
9000010384,c 19
9000010385,c 8
9000010386,c 42
9000010387,c 29
9000010388,p 8
9000010389,c 2
9000010390,p 23
9000010391,p 7
9000010392,c 44
9000010393,p 32
9000010394,p 34
9000010395,c 37
9000010396,c 36
9000010397,p 28
